"date","availability"
"2021-01-01","0"
"2021-01-02","0"
"2021-01-03","0"
"2021-01-04","14.22"
"2021-01-05","14.4"
"2021-01-06","14.68"
"2021-01-07","13.68"
"2021-01-08","14.76"
"2021-01-09","0"
"2021-01-10","0"
"2021-01-11","14.54"
"2021-01-12","14.05"
"2021-01-13","14.37"
"2021-01-14","14.8"
"2021-01-15","13.62"
"2021-01-16","0"
"2021-01-17","0"
"2021-01-18","13.6"
"2021-01-19","15.42"
"2021-01-20","12.16"
"2021-01-21","14.74"
"2021-01-22","14.29"
"2021-01-23","0"
"2021-01-24","0"
"2021-01-25","14.37"
"2021-01-26","14.64"
"2021-01-27","14.33"
"2021-01-28","14.87"
"2021-01-29","14.3"
"2021-01-30","0"
"2021-01-31","0"
"2021-02-01","14.27"
"2021-02-02","13.98"
"2021-02-03","13.48"
"2021-02-04","14.31"
"2021-02-05","14.06"
"2021-02-06","0"
"2021-02-07","0"
"2021-02-08","13.1"
"2021-02-09","12.83"
"2021-02-10","14.4"
"2021-02-11","14.64"
"2021-02-12","12.88"
"2021-02-13","0"
"2021-02-14","0"
"2021-02-15","14.61"
"2021-02-16","12.74"
"2021-02-17","13.63"
"2021-02-18","14.68"
"2021-02-19","13.48"
"2021-02-20","0"
"2021-02-21","0"
"2021-02-22","11.43"
"2021-02-23","14.34"
"2021-02-24","12.94"
"2021-02-25","14.52"
"2021-02-26","14.72"
"2021-02-27","0"
"2021-02-28","0"
"2021-03-01","13.73"
"2021-03-02","15.39"
"2021-03-03","15.2"
"2021-03-04","14.66"
"2021-03-05","11.56"
"2021-03-06","0"
"2021-03-07","0"
"2021-03-08","14.25"
"2021-03-09","14.93"
"2021-03-10","14.24"
"2021-03-11","11.85"
"2021-03-12","14.21"
"2021-03-13","0"
"2021-03-14","0"
"2021-03-15","14.73"
"2021-03-16","14.18"
"2021-03-17","14.9"
"2021-03-18","14.83"
"2021-03-19","14.04"
"2021-03-20","0"
"2021-03-21","0"
"2021-03-22","8.67"
"2021-03-23","1.7"
"2021-03-24","2.25"
"2021-03-25","13.86"
"2021-03-26","13.83"
"2021-03-27","0"
"2021-03-28","0"
"2021-03-29","15.56"
"2021-03-30","15.65"
"2021-03-31","16.37"
"2021-04-01","16.68"
"2021-04-02","16.49"
"2021-04-03","0"
"2021-04-04","0"
"2021-04-05","16.6"
"2021-04-06","15.52"
"2021-04-07","15.92"
"2021-04-08","16.2"
"2021-04-09","13.76"
"2021-04-10","0"
"2021-04-11","0"
"2021-04-12","16.18"
"2021-04-13","16.39"
"2021-04-14","16.35"
"2021-04-15","16"
"2021-04-16","16.45"
"2021-04-17","0.19"
"2021-04-18","0"
"2021-04-19","16.86"
"2021-04-20","16.64"
"2021-04-21","15.75"
"2021-04-22","14.82"
"2021-04-23","16.26"
"2021-04-24","0"
"2021-04-25","0"
"2021-04-26","16.33"
"2021-04-27","18.38"
"2021-04-28","15.82"
"2021-04-29","17.18"
"2021-04-30","15.65"
"2021-05-01","0"
"2021-05-02","0"
"2021-05-03","16.38"
"2021-05-04","15.27"
"2021-05-05","16.25"
"2021-05-06","15.68"
"2021-05-07","12.91"
"2021-05-08","0"
"2021-05-09","0"
"2021-05-10","16.55"
"2021-05-11","16.92"
"2021-05-12","16.28"
"2021-05-13","16.44"
"2021-05-14","15.24"
"2021-05-15","0.06"
"2021-05-16","0"
"2021-05-17","16.14"
"2021-05-18","16.55"
"2021-05-19","16.23"
"2021-05-20","16.42"
"2021-05-21","16.18"
"2021-05-22","0"
"2021-05-23","0"
"2021-05-24","12.44"
"2021-05-25","14.75"
"2021-05-26","14.19"
"2021-05-27","14.33"
"2021-05-28","14.68"
"2021-05-29","0"
"2021-05-30","0"
"2021-05-31","16.29"
"2021-06-01","16.65"
"2021-06-02","16.89"
"2021-06-03","16.56"
"2021-06-04","16.28"
"2021-06-05","0"
"2021-06-06","0"
"2021-06-07","15.03"
"2021-06-08","16.59"
"2021-06-09","16.47"
"2021-06-10","16.37"
"2021-06-11","13.08"
"2021-06-12","0"
"2021-06-13","0"
"2021-06-14","14.76"
"2021-06-15","14.31"
"2021-06-16","14.55"
"2021-06-17","14.36"
"2021-06-18","14.09"
"2021-06-19","0"
"2021-06-20","0"
"2021-06-21","14.07"
"2021-06-22","16.38"
"2021-06-23","16.54"
"2021-06-24","16.68"
"2021-06-25","16.89"
"2021-06-26","0"
"2021-06-27","0"
"2021-06-28","14.3"
"2021-06-29","14.9"
"2021-06-30","14.23"
"2021-07-01","14.76"
"2021-07-02","12.4"
"2021-07-03","0"
"2021-07-04","0"
"2021-07-05","13.95"
"2021-07-06","15.22"
"2021-07-07","14.59"
"2021-07-08","14.15"
"2021-07-09","9.3"
"2021-07-10","0"
"2021-07-11","0"
"2021-07-12","13.49"
"2021-07-13","13"
"2021-07-14","13.45"
"2021-07-15","11.6"
"2021-07-16","13.3"
"2021-07-17","0"
"2021-07-18","0"
"2021-07-19","13.32"
"2021-07-20","10.04"
"2021-07-21","13.11"
"2021-07-22","9.06"
"2021-07-23","10.04"
"2021-07-24","0"
"2021-07-25","0"
"2021-07-26","13.96"
"2021-07-27","10.33"
"2021-07-28","10.99"
"2021-07-29","11.56"
"2021-07-30","11.95"
"2021-07-31","0"
"2021-08-01","0"
"2021-08-02","13"
"2021-08-03","10.54"
"2021-08-04","10.66"
"2021-08-05","14.33"
"2021-08-06","10.4"
"2021-08-07","0"
"2021-08-08","0"
"2021-08-09","11.6"
"2021-08-10","6.26"
"2021-08-11","7.17"
"2021-08-12","7.11"
"2021-08-13","3.96"
"2021-08-14","0"
"2021-08-15","0"
"2021-08-16","8.91"
"2021-08-17","11.05"
"2021-08-18","11.33"
"2021-08-19","8.72"
"2021-08-20","9.67"
"2021-08-21","0"
"2021-08-22","0"
"2021-08-23","10.7"
"2021-08-24","3.99"
"2021-08-25","7.03"
"2021-08-26","7.08"
"2021-08-27","6.24"
"2021-08-28","0"
"2021-08-29","0"
"2021-08-30","12.6"
"2021-08-31","9.57"
"2021-09-01","12.65"
"2021-09-02","9.61"
"2021-09-03","11.73"
"2021-09-04","0"
"2021-09-05","0"
"2021-09-06","8.93"
"2021-09-07","7.8"
"2021-09-08","7.99"
"2021-09-09","7.62"
"2021-09-10","12.5"
"2021-09-11","0"
"2021-09-12","0"
"2021-09-13","9.17"
"2021-09-14","8.82"
"2021-09-15","9.49"
"2021-09-16","8.83"
"2021-09-17","6.51"
"2021-09-18","0"
"2021-09-19","0"
"2021-09-20","11.03"
"2021-09-21","6.82"
"2021-09-22","10.87"
"2021-09-23","13.28"
"2021-09-24","12.05"
"2021-09-25","0.01"
"2021-09-26","0"
"2021-09-27","13.2"
"2021-09-28","11.41"
"2021-09-29","12.82"
"2021-09-30","10.97"
"2021-10-01","12.26"
"2021-10-02","0"
"2021-10-03","0"
"2021-10-04","11.93"
"2021-10-05","11.55"
"2021-10-06","9.45"
"2021-10-07","9.91"
"2021-10-08","12.91"
"2021-10-09","0"
"2021-10-10","0"
"2021-10-11","12.71"
"2021-10-12","11.44"
"2021-10-13","13.24"
"2021-10-14","12.96"
"2021-10-15","14.07"
"2021-10-16","0"
"2021-10-17","0"
"2021-10-18","12.09"
"2021-10-19","13.04"
"2021-10-20","13.43"
"2021-10-21","11.99"
"2021-10-22","13.22"
"2021-10-23","0"
"2021-10-24","0"
"2021-10-25","12.99"
"2021-10-26","13.89"
"2021-10-27","9"
"2021-10-28","13.89"
"2021-10-29","10.13"
"2021-10-30","0"
"2021-10-31","0"
"2021-11-01","8.28"
"2021-11-02","12"
"2021-11-03","9.55"
"2021-11-04","8"
